college_lang,elementary_lang,family_lang,foreigners_lang,friends_lang,home_lang,hs_lang,school_lang,work_lang
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
Tagalog,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian
Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English
Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
Tagalog,Pohnpeian,Mwokilese,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Ngatikese,Pohnpeian,Ngatikese,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Ngatikese,Ngatikese,English,Ngatikese,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
Finnish,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Japanese,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Yapese,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,English,Kapingamarangi,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,English,Kapingamarangi,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pingelapese,English,Kapingamarangi,Kapingamarangi,English,Pohnpeian,Pohnpeian
Kosraean,English,Kapingamarangi,English,Pohnpeian,Pingelapese,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Kapingamarangi,Kapingamarangi,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,English,Mwokilese,English,Pohnpeian,Pohnpeian,Finnish,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Mwokilese,Mwokilese,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Mortlockese,Mortlockese,English,Pohnpeian,Pohnpeian,English,Mortlockese,English
English,Pohnpeian,Pohnpeian,English,Mortlockese,Mortlockese,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Tagalog
English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English
Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,English,Yapese,English,Pohnpeian,Pohnpeian,English,English,English
English,English,Tagalog,English,English,Yapese,Pohnpeian,English,English
English,Mwokilese,Mwokilese,English,Tagalog,Tagalog,English,English,Pohnpeian
English,English,Pohnpeian,English,English,Mwokilese,English,English,English
English,English,Ilonggo,English,Pohnpeian,Pohnpeian,English,Bisaya,English
English,English,Mwokilese,English,Tagalog,English,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Mwokilese,English,English,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English
English,English,Tagalog,English,Pohnpeian,Pohnpeian,English,Tagalog,Pohnpeian
English,English,Yapese,English,Tagalog,Tagalog,English,English,Pohnpeian
English,English,Pohnpeian,English,English,Yapese,English,English,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,English,English,Pohnpeian,English
English,English,English,English,Pohnpeian,Pohnpeian,English,English,English
English,English,English,English,Pohnpeian,Pohnpeian,English,English,English
English,English,English,English,Pohnpeian,English,English,English,Pohnpeian
Urdu,English,English,English,English,English,English,English,Pohnpeian
English,English,English,English,English,English,Chuukese,Pohnpeian,English
English,English,English,English,English,English,English,English,English
English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,English,English
English,English,Chuukese,English,Pohnpeian,Chuukese,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,English
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English
English,Finnish,Finnish,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian
English,English,English,English,Finnish,English,English,Mortlockese,English
English,Chuukese,Chuukese,English,English,Chuukese,English,Pingelapese,Pohnpeian
English,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English
English,Pingelapese,Pingelapese,English,Pohnpeian,Pingelapese,English,Pohnpeian,English
English,English,Japanese,English,Pingelapese,English,English,English,English
English,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English
English,English,English,English,Pohnpeian,English,English,English,English
English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English
English,Pohnpeian,Mortlockese,English,Pohnpeian,Mortlockese,Ulithian,English,Kosraean
English,Pohnpeian,Pingelapese,English,Mortlockese,Pingelapese,English,English,English
English,English,Mwokilese,English,Pingelapese,Mwokilese,English,Pohnpeian,English
English,English,Pohnpeian,English,English,Pohnpeian,English,English,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English
English,English,Pohnpeian,English,Pohnpeian,English,English,English,English
English,English,English,English,Pohnpeian,English,English,English,English
English,English,English,English,English,English,English,English,English
English,English,Pohnpeian,English,English,Pohnpeian,English,English,English
English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,English
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English
English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Mortlockese,Mortlockese,English,English,Mortlockese,English,Pohnpeian,English
English,English,English,English,Mortlockese,English,English,English,English
English,English,Pohnpeian,English,English,Pohnpeian,English,English,Pohnpeian
Japanese,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,English,English
English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English
English,English,Mwokilese,English,Pohnpeian,Mwokilese,English,Mortlockese,Pohnpeian
English,English,Kosraean,English,Pohnpeian,Kosraean,Pohnpeian,Pohnpeian,English
Tagalog,English,Pohnpeian,English,Kosraean,Pohnpeian,English,English,English
English,Pohnpeian,Chuukese,English,English,Chuukese,English,English,Kosraean
Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian
English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English
English,English,English,English,English,English,English,English,English
Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English
Tagalog,Chuukese,Chuukese,English,English,Chuukese,Urdu,English,Kosraean
English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,Chuukese,English
Pohnpeian,Pohnpeian,Mortlockese,English,Pohnpeian,Mortlockese,English,English,English
Pohnpeian,English,English,English,Pohnpeian,English,English,Pohnpeian,English
Pohnpeian,English,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,English
Pohnpeian,English,Chuukese,English,Pohnpeian,Chuukese,English,English,Pohnpeian
Tagalog,English,Tagalog,English,Pohnpeian,Tagalog,Pohnpeian,English,Pohnpeian
,Pohnpeian,Pohnpeian,English,Tagalog,Pohnpeian,English,English,English
,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
,English,English,English,Pohnpeian,English,English,English,Pohnpeian
,Kosraean,Kosraean,English,English,Kosraean,Pohnpeian,Pohnpeian,English
,Pohnpeian,Pohnpeian,English,Kosraean,Pohnpeian,English,Yapese,English
,Mortlockese,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English
,English,Chuukese,Pohnpeian,Pohnpeian,Chuukese,Kosraean,English,English
,Pohnpeian,Pohnpeian,English,Chuukese,Pohnpeian,Pohnpeian,English,English
,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English
,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
,English,Ulithian,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian
,Ulithian,Pohnpeian,English,English,Ulithian,Pohnpeian,English,Pohnpeian
,Marshallese,Pohnpeian,English,Ulithian,Pohnpeian,English,English,Pohnpeian
,Pohnpeian,Pohnpeian,English,Marshallese,Pohnpeian,English,English,Pohnpeian
,English,Mortlockese,English,Pohnpeian,Pohnpeian,English,English,English
,Pohnpeian,Yapese,English,Pohnpeian,Mortlockese,English,English,English
,English,Kosraean,English,Mortlockese,English,English,English,Pohnpeian
,English,Kosraean,Pohnpeian,Yapese,Kosraean,English,English,English
,English,Pohnpeian,English,English,Kosraean,English,Pohnpeian,Pohnpeian
,English,Chuukese,English,Kosraean,Pohnpeian,English,Pohnpeian,Pohnpeian
,Chuukese,Pohnpeian,English,Pohnpeian,Chuukese,English,Pohnpeian,English
,English,Pohnpeian,English,Chuukese,Pohnpeian,English,English,English
,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian
,English,Mortlockese,English,Pohnpeian,Pohnpeian,English,English,English
,English,English,English,Pohnpeian,Kosraean,Pohnpeian,Pohnpeian,Pohnpeian
,English,Pingelapese,English,Kosraean,Chuukese,English,English,English
,English,Pohnpeian,English,English,Pingelapese,English,Pohnpeian,English
,Pohnpeian,English,English,Pingelapese,Pohnpeian,English,English,Pohnpeian
,English,Kosraean,English,English,English,English,English,English
,Kosraean,Pohnpeian,Pohnpeian,English,Kosraean,English,English,English
,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English
,English,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
,English,Pohnpeian,English,Pohnpeian,English,English,Kosraean,English
,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English
,Pohnpeian,Visayan,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
,English,Pohnpeian,English,Pohnpeian,Visayan,English,Pohnpeian,English
,English,Pohnpeian,English,Tagalog,Pohnpeian,English,Pohnpeian,English
,Pohnpeian,Chuukese,English,Pohnpeian,Pohnpeian,English,English,English
,Chuukese,Pohnpeian,Pohnpeian,Pohnpeian,Chuukese,English,Mortlockese,English
,Pohnpeian,Urdu,English,Chuukese,Pohnpeian,English,Pohnpeian,English
,Urdu,English,English,Pohnpeian,English,English,Pohnpeian,English
,English,English,English,Urdu,English,English,Kosraean,English
,English,Pohnpeian,English,English,Yapese,English,English,English
,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English,English,English
,Pohnpeian,Kosraean,English,English,Pohnpeian,English,English,English
,English,Pingelapese,English,Pohnpeian,Kosraean,English,English,Pingelapese
,Pingelapese,Mortlockese,English,Kosraean,Pingelapese,English,Pohnpeian,English
,Mortlockese,Pohnpeian,English,Pingelapese,Mortlockese,English,English,English
,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Kosraean,English
,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Japanese,English,English
,Pohnpeian,Mortlockese,English,Pohnpeian,Pohnpeian,English,English,English
,Mortlockese,English,English,Pohnpeian,Mortlockese,English,English,Pohnpeian
,English,Pohnpeian,English,Mortlockese,English,English,English,Pohnpeian
,Pohnpeian,Kosraean,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English
,Tagalog,Pohnpeian,English,English,Kosraean,English,English,English
,Pohnpeian,Kosraean,English,Kosraean,Kosraean,Pohnpeian,Pohnpeian,English
,Kosraean,English,English,Pohnpeian,English,English,English,English
,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,Meing
,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English
,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,English,English
,English,Kosraean,English,Pohnpeian,Kosraean,English,English,English
,English,Pohnpeian,English,Kosraean,English,English,English,English
,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English
,Pohnpeian,Pingelapese,English,Pohnpeian,Pohnpeian,English,English,English
,English,English,English,Pohnpeian,Pingelapese,English,English,Ngatikese
,English,English,English,Pingelapese,English,English,English,English
,English,Mwokilese,English,English,English,English,English,English
,English,Pohnpeian,English,English,Mwokilese,Japanese,English,English
,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English
,English,Chuukese,English,Pohnpeian,Pohnpeian,English,English,English
